Time (MJD),UVW2,UVM2,UVW1,U,B,V
54161.8408,18.79004028166125,18.073429171068817,16.805457131618596,15.212841183452339,14.677409836659436,13.264919383528696
54165.0591,17.494760074002222,16.809644565802376,15.479619590063757,13.809321656913884,13.558372682920233,12.18681805034381
54169.6568,16.700955806769628,15.989343448477022,14.676784221579247,13.044956483661398,12.836916588666714,11.470526303440009
54170.6312,16.66074058568448,15.937812337092309,14.650211539077116,13.0350558015741,12.808177402326947,11.439969167572091
54171.5313,16.600379332577194,15.881695257093208,14.590894144585217,12.983988479274466,12.756629690167552,11.385585697107576
54172.3682,16.590541688712115,15.858647399908238,14.582441654006443,12.96085668749506,12.736988682453735,11.365660609122603
54173.0383,16.611373699956058,15.888300811095739,14.60288593347426,12.994956533398561,12.759176448368901,11.379397277802376
54175.6145,16.860566841515794,16.129220917984952,14.875910806496506,13.359634731071063,12.911922927227998,11.506230925854023
54176.5487,16.807318714985406,16.07438947910249,14.817509706770341,13.214653953701802,12.86907807619669,11.468952286599922
54177.5535,16.903700273297506,16.17311553470796,14.91997657834735,13.30345316818348,12.926246464047074,11.521621596044872
54178.5577,16.992259717096363,16.2600487455296,15.008348529412544,13.437660972299806,13.01898649014991,11.598217174306654
54179.5612,17.11770229244435,16.389951251133635,15.126730514136858,13.55741395608359,13.099248168306481,11.669240585920399
54180.5907,17.211365223677603,16.484507098697716,15.232826235746492,13.667189033061426,13.181203372240667,11.741472354952954
54181.0644,17.30254386002136,16.59488672575265,15.326311294697804,13.75386198056984,13.240345076391979,11.789704241280837
54182.3643,17.433007767279033,16.719311800041368,15.466117611870233,13.90568895952232,13.367962388330508,11.910586345094313
54183.2301,17.504058253798576,16.797534057986734,15.532366408557948,13.985367209472304,13.444026199042291,11.972912617997023
54184.475,17.651390032937076,16.950989967908747,15.685238998875496,14.135309995249687,13.570843793229102,12.086946698277263
54185.3758,17.781872676894928,17.075182496694534,15.816612553159745,14.263480876916004,13.675195162732873,12.19396086507335
54186.2459,17.895296934203696,17.19869900756347,15.936517505269602,14.386263040578747,13.786803346023602,12.28590344504758
54187.2817,17.972362456254274,17.25151250993044,16.017050029621224,14.490500230679153,13.89925004056363,12.390387688332222
54188.2833,18.13508720373136,17.440997533085255,16.187678338512296,14.643618733837332,14.012195679642351,12.486427392112745
54189.4245,18.280380171474654,17.57018647980926,16.331519894460364,14.821036403165742,14.169188624687791,12.63716427894068
54190.4987,18.49121310023149,17.75013643854663,16.553929997724996,15.20827850122964,14.378451300995494,12.829673886650564
54191.2665,18.42979356722343,17.702961037120176,16.49995136881022,15.016501720570421,14.356812953296714,12.797077575774743
54192.4401,18.601756020069,17.886138209072346,16.671737655131327,15.18113390158803,14.482487144929413,12.905865466797259
54193.0203,18.682039116659446,17.958431609342654,16.757760636141015,15.286664763373869,14.576100931971677,12.98853666136933
54195.8152,18.949912859298355,18.226661683391995,17.028604364980414,15.605759509456316,14.849603357768984,13.227771831864517
54196.2686,18.96241528166267,18.238774236204407,17.041109331125526,15.614632913355322,14.859465659408738,13.23470601170542
54200.1088,19.281540881250795,18.526704829381462,17.37507482396642,15.984042377512953,15.180772533929598,13.534382649193734
54202.4308,19.401462709381462,18.63168767157268,17.50662821149247,16.10299514778215,15.335374538032493,13.6994534426304
54204.4517,19.557507322252413,18.770165598152158,17.69408409604713,16.2960569218976,15.542764615462488,13.85183447890427
54206.5268,19.672319133792165,18.875498545154326,17.76725941830591,16.37105964753269,15.671084135395851,14.032599237075136
54208.7714,19.720770995936864,18.91225288665539,17.825014440664944,16.445202699767954,15.741350194262758,14.118590159611275
54211.7969,19.891111770319146,19.06198065722275,17.999218477941817,16.64115098984189,15.91332415934968,14.267735180635823
54213.7318,19.906692747706302,19.071996977171697,18.019899736894168,16.667095931620867,15.93781867681597,14.306733831987117
54215.3133,20.012028110448107,19.16212101083819,18.13906301040245,16.766922129109425,16.031404526042426,14.400066964283972
54217.2887,20.02990679814213,19.174138462285548,18.152638805341464,16.75807096926064,16.075282525874233,14.463189507417482
54219.8194,20.063804404868254,19.20010267626494,18.18373682407538,16.829349224289007,16.116935313803396,14.51663532601952
54223.4978,20.15149199736637,19.277192835309595,18.28137958248617,16.89385899276717,16.1661794313138,14.566379281152319
54225.6741,20.217618418637294,19.3290244797906,18.33980378375438,16.947460566973906,16.262965882651795,14.678505150639996
54231.4648,20.33496625679173,19.42490412348129,18.465463994402004,17.091776578655093,16.36923940465914,14.779625828654876
54237.9345,20.40033139841614,19.468118802906027,18.52436370809525,17.22722909119476,16.49714606370444,14.937274222925192
54244.4183,20.577092736379594,19.60729451469465,18.722171066523742,17.372455089804745,16.642739698636902,15.104688748816333
54251.3155,20.663582389160823,19.664567564745614,18.816286313927332,17.57691643693837,16.796831860818358,15.26018857270159
54258.2466,20.746948825239556,19.728447779126604,18.919184576819347,17.69475970030387,16.83793698896446,15.297778305351173
54272.4349,20.873388188289738,19.807531774849963,19.04903197980805,17.963143128860462,17.080005048787484,15.584232593524131
